"PLASTICS_APPLICATIONS","Plastics applications","TIME","Time","Value","Flag Codes","Flags"
"TRANSPORTATION_-_TYRES","Transportation - tyres","2009","2009",5.519,,
"TRANSPORTATION_-_TYRES","Transportation - tyres","2010","2010",6.01,,
"TRANSPORTATION_-_TYRES","Transportation - tyres","2011","2011",6.274,,
"TRANSPORTATION_-_TYRES","Transportation - tyres","2012","2012",6.532,,
"TRANSPORTATION_-_TYRES","Transportation - tyres","2013","2013",6.833,,
"TRANSPORTATION_-_TYRES","Transportation - tyres","2014","2014",6.977,,
"TRANSPORTATION_-_TYRES","Transportation - tyres","2015","2015",7.1,,
"TRANSPORTATION_-_TYRES","Transportation - tyres","2016","2016",7.164,,
"TRANSPORTATION_-_TYRES","Transportation - tyres","2017","2017",7.3,,
"TRANSPORTATION_-_TYRES","Transportation - tyres","2018","2018",7.522,,
"TRANSPORTATION_-_TYRES","Transportation - tyres","2019","2019",7.734,,
"TOTAL","Total","1990","1990",129.887,,
"TOTAL","Total","1991","1991",134.87,,
"TOTAL","Total","1992","1992",143.569,,
"TOTAL","Total","1993","1993",149.685,,
"TOTAL","Total","1994","1994",164.447,,
"TOTAL","Total","1995","1995",170.917,,
"TOTAL","Total","1996","1996",183.44,,
"TOTAL","Total","1997","1997",197.228,,
"TOTAL","Total","1998","1998",206.397,,
"TOTAL","Total","1999","1999",222.145,,
"TOTAL","Total","2000","2000",234.008,,
"TOTAL","Total","2001","2001",239.907,,
"TOTAL","Total","2002","2002",255.48,,
"TOTAL","Total","2003","2003",266.323,,
"TOTAL","Total","2004","2004",283.508,,
"TOTAL","Total","2005","2005",291.788,,
"TOTAL","Total","2006","2006",310.465,,
"TOTAL","Total","2007","2007",328.116,,
"TOTAL","Total","2008","2008",312.909,,
"TOTAL","Total","2009","2009",321.169,,
"TOTAL","Total","2010","2010",348.88,,
"TOTAL","Total","2011","2011",363.27,,
"TOTAL","Total","2012","2012",377.301,,
"TOTAL","Total","2013","2013",393.737,,
"TOTAL","Total","2014","2014",401.032,,
"TOTAL","Total","2015","2015",412.751,,
"TOTAL","Total","2016","2016",419.97,,
"TOTAL","Total","2017","2017",432.184,,
"TOTAL","Total","2018","2018",446.2,,
"TOTAL","Total","2019","2019",459.746,,
